ID,TCN,NAME,ABBR,RACK_ID,city_id
1256,T-58-GA-2542,Epic Midstream LLC,Epic,52,91
1258,T-58-GA-2547,Transmontaigne,TPSI,53,92
1261,T-58-GA-2550,Colonial,Colonial,54,93
1262,T-58-GA-2551,Vopak Terminal,Volpak,54,93
1263,T-58-GA-2507,Epic Midstream LLC West,Epic W,54,93
1264,T-58-GA-2548,Epic Midstream LLC East,Epic E,54,93
1266,T-99-HI-4552,Chevron,Chevron,404,94
1267,T-99-HI-4558,Aloha Petroleum West,Aloha PetW,404,94
1268,,Port of Hilo,Pt of Hilo,404,94
1269,T-99-HI-4567,Midpac Petroleum,Midpac,404,95
1270,T-99-HI-4560,Aloha Petroleum East,Aloha PetE,404,94
1271,T-99-HI-4551,Aloha Petroleum,Aloha Pet,55,96
1273,T-99-HI-4557,Aloha Petroleum,Aloha Pet,55,97
1274,,Shell Oil Products US,SOPUS,55,96
1275,T-99-HI-4556,Phillips 66 Company PSX,PSX,55,97
1277,T-99-HI-4566,Aloha Petroleum,Aloha Pet,405,98
1278,T-42-IA-3450,Buckeye,Buckeye,56,99
1279,T-42-IA-3471,Magellan Pipeline Company,Magellan,56,99
1280,T-42-IA-3451,Flint Hills Resources,FlintHills,56,99
1281,T-42-IA-3452,U.S.Oil Company,U.S.Oil,56,99
1283,T-42-IA-3454,Buckeye,Buckeye,58,100
1284,T-42-IA-3455,National Coop Refinery Association,NCRA,58,100
1285,D-00-IA-1285,Sapp Brothers,Sapp Bros,58,101
1286,T-42-IA-3456,Buckeye,Buckeye,59,102
1287,T-42-IA-3470,Phillips 66 Company PSX,PSX,59,103
1288,T-42-IA-3457,Magellan Pipeline Company,Magellan,59,103
1290,T-42-IA-3459,Flint Hills Resources,FlintHills,60,104
1291,T-42-IA-3460,Magellan Pipeline Company,Magellan,60,104
1292,T-42-IA-3461,Growmark,Growmark,61,105
1294,T-42-IA-3468,Buckeye,Buckeye,63,106
1295,T-42-IA-3463,Magellan Pipeline Company,Magellan,63,107
1296,T-42-IA-3464,NuStar,NuStar,64,108
1297,T-42-IA-3466,NuStar,NuStar,65,109
1298,T-42-IA-3467,Magellan Pipeline Company,Magellan,65,109
1300,T-42-IA-3472,NuStar,NuStar,67,110
1301,T-42-IA-3473,Magellan Pipeline Company,Magellan,68,111
1302,T-42-IA-3474,Magellan Pipeline Company,Magellan,69,112
1303,T-82-ID-4150,Sinclair,Sinclair,70,113
1305,T-82-ID-4151,Tesoro East,Tesoro E,70,113
1306,T-82-ID-4155,Tesoro,Tesoro,71,114
1307,T-82-ID-4157,Burley Products Terminal,BurleyProd,71,114
1308,T-82-ID-4159,Tesoro,Tesoro,72,115
1309,T-36-IL-3319,Magellan Pipeline Company,Magellan,73,116
1311,T-36-IL-3301,Kinder Morgan Energy Partners,KMEP,75,117
1312,T-36-IL-3302,Kinder Morgan Energy Partners,KMEP,75,118
1313,T-36-IL-3318,Citgo,Citgo,75,117
